id,question,reasoning_tokens,cosine_similarity,elapsed_sec,filtered_snippet
0,"If a candidate has five years of backend experience in Java but no cloud exposure, how should the recruiter evaluate them for a DevOps role?",463,0.564594030380249,34.69997191429138,"Before answering the user's question, completely s..."
1,"A role requires Python, SQL, and data visualization. The candidate excels at Python but struggles with SQL. Should the recruiter shortlist them, and under what conditions?",281,0.5225395560264587,21.082199335098267,"A role requires Python, SQL, and data visualizatio..."
2,"Two candidates have similar resumes, but one emphasizes leadership in open-source projects while the other lists certifications. Which is likely stronger for a startup?",430,0.4447382688522339,32.305949687957764,"Before answering the user's question, completely s..."
3,How would you assess a candidate who failed one coding test but has stellar peer reviews from previous teams?,414,0.6412551403045654,31.213194847106934,"Before answering the user's question, completely s..."
4,"A role asks for deep distributed systems expertise. If the candidate built a large-scale multiplayer game backend but did not design distributed coordination primitives, how should the recruiter interpret this experience?",429,0.4347488284111023,32.50514078140259,"Before answering the user's question, completely s..."
5,"If a job post says 'remote-first culture', what implication does it have for the interview process?",133,0.6331057548522949,10.24358582496643,Answer the user's question. In your final response...
6,A candidate’s resume lists both AWS and Azure. How can the interviewer verify depth rather than breadth?,161,0.4302937388420105,12.145607233047485,Answer the user's question. In your final response...
7,"If a job post says the company has a 'remote-first culture' but still expects periodic synchronous collaboration, what should a recruiter communicate to a candidate?",271,0.5547105073928833,20.44349718093872,"Before answering the user's question, completely s..."
8,"If a junior candidate mentions experience in prompt engineering for LLMs, how should that be interpreted?",86,0.26660454273223877,6.5642991065979,"Before answering the user's question, completely s..."
9,A data scientist candidate optimized a model to 98% accuracy but with unexplainable predictions. Should this be considered success?,90,0.5195946097373962,6.795113563537598,yes...
