id,user_query,job_role,company,location,interview_round,mock_question
1,Help me prepare for Data Scientist at Microsoft in Boston. Focus on the OA round.,Data Scientist,Microsoft,Boston,OA,Running median from a data stream.
2,Help me prepare for SRE at NVIDIA in Remote. Focus on the OA round.,SRE,NVIDIA,Remote,OA,Running median from a data stream.
3,Help me prepare for Software Engineer at Airbnb in Toronto. Focus on the OA round.,Software Engineer,Airbnb,Toronto,OA,Dijkstra on sparse graphs.
4,Help me prepare for Software Engineer at Amazon in Toronto. Focus on the OA round.,Software Engineer,Amazon,Toronto,OA,Longest substring without repeats.
5,Help me prepare for SRE at Apple in NYC. Focus on the OA round.,SRE,Apple,NYC,OA,Dijkstra on sparse graphs.
6,Help me prepare for ML Engineer at Microsoft in Austin. Focus on the OA round.,ML Engineer,Microsoft,Austin,OA,Dijkstra on sparse graphs.
7,Help me prepare for Data Engineer at Uber in LA. Focus on the OA round.,Data Engineer,Uber,LA,OA,Dijkstra on sparse graphs.
8,Help me prepare for Backend Engineer at Amazon in Boston. Focus on the OA round.,Backend Engineer,Amazon,Boston,OA,Running median from a data stream.
9,Help me prepare for Software Engineer at Google in Chicago. Focus on the OA round.,Software Engineer,Google,Chicago,OA,Dijkstra on sparse graphs.
10,Help me prepare for Data Engineer at Apple in Austin. Focus on the OA round.,Data Engineer,Apple,Austin,OA,Dijkstra on sparse graphs.
11,Help me prepare for Data Scientist at Google in Austin. Focus on the OA round.,Data Scientist,Google,Austin,OA,Longest substring without repeats.
12,Help me prepare for Security Engineer at Stripe in Vancouver. Focus on the OA round.,Security Engineer,Stripe,Vancouver,OA,Longest substring without repeats.
13,Help me prepare for SRE at Uber in Chicago. Focus on the OA round.,SRE,Uber,Chicago,OA,Longest substring without repeats.
14,Help me prepare for Backend Engineer at Uber in Toronto. Focus on the OA round.,Backend Engineer,Uber,Toronto,OA,Dijkstra on sparse graphs.
15,Help me prepare for Software Engineer at Apple in Bay Area. Focus on the OA round.,Software Engineer,Apple,Bay Area,OA,Running median from a data stream.
16,Help me prepare for Frontend Engineer at Google in Toronto. Focus on the OA round.,Frontend Engineer,Google,Toronto,OA,Longest substring without repeats.
17,Help me prepare for ML Engineer at Airbnb in Boston. Focus on the OA round.,ML Engineer,Airbnb,Boston,OA,Dijkstra on sparse graphs.
18,Help me prepare for ML Engineer at Google in LA. Focus on the OA round.,ML Engineer,Google,LA,OA,Longest substring without repeats.
19,Help me prepare for Backend Engineer at Apple in Toronto. Focus on the OA round.,Backend Engineer,Apple,Toronto,OA,Dijkstra on sparse graphs.
20,Help me prepare for ML Engineer at Netflix in Vancouver. Focus on the OA round.,ML Engineer,Netflix,Vancouver,OA,Longest substring without repeats.
21,Help me prepare for ML Engineer at NVIDIA in Seattle. Focus on the OA round.,ML Engineer,NVIDIA,Seattle,OA,Running median from a data stream.
22,Help me prepare for Data Scientist at Apple in Boston. Focus on the OA round.,Data Scientist,Apple,Boston,OA,Running median from a data stream.
23,Help me prepare for SRE at NVIDIA in LA. Focus on the OA round.,SRE,NVIDIA,LA,OA,Longest substring without repeats.
24,Help me prepare for Frontend Engineer at Apple in Chicago. Focus on the OA round.,Frontend Engineer,Apple,Chicago,OA,Running median from a data stream.
25,Help me prepare for Software Engineer at Microsoft in Remote. Focus on the Technical round.,Software Engineer,Microsoft,Remote,Technical,Serialize/deserialize a binary tree.
26,Help me prepare for ML Engineer at Netflix in LA. Focus on the Technical round.,ML Engineer,Netflix,LA,Technical,Join two large tables and handle skew.
27,Help me prepare for Data Scientist at Apple in Boston. Focus on the Technical round.,Data Scientist,Apple,Boston,Technical,Implement mini-batch GD with early stopping.
28,Help me prepare for Data Engineer at Meta in Vancouver. Focus on the Technical round.,Data Engineer,Meta,Vancouver,Technical,Implement mini-batch GD with early stopping.
29,Help me prepare for Data Engineer at Amazon in Bay Area. Focus on the Technical round.,Data Engineer,Amazon,Bay Area,Technical,Daily user embeddings pipeline with real-time serving.
30,Help me prepare for ML Engineer at Uber in Chicago. Focus on the Technical round.,ML Engineer,Uber,Chicago,Technical,Bias-variance tradeoff and regularization.
31,Help me prepare for Backend Engineer at Uber in Boston. Focus on the Technical round.,Backend Engineer,Uber,Boston,Technical,Top-K frequent elements using a heap.
32,Help me prepare for SRE at NVIDIA in Vancouver. Focus on the Technical round.,SRE,NVIDIA,Vancouver,Technical,Implement an LRU cache with O(1) ops.
33,Help me prepare for Frontend Engineer at Apple in Bay Area. Focus on the Technical round.,Frontend Engineer,Apple,Bay Area,Technical,Find the longest consecutive sequence length.
34,Help me prepare for Software Engineer at Netflix in Toronto. Focus on the Technical round.,Software Engineer,Netflix,Toronto,Technical,Serialize/deserialize a binary tree.
35,Help me prepare for Frontend Engineer at Amazon in Austin. Focus on the Technical round.,Frontend Engineer,Amazon,Austin,Technical,Find the longest consecutive sequence length.
36,Help me prepare for Backend Engineer at NVIDIA in Chicago. Focus on the Technical round.,Backend Engineer,NVIDIA,Chicago,Technical,Find the longest consecutive sequence length.
37,Help me prepare for Software Engineer at Uber in Austin. Focus on the Technical round.,Software Engineer,Uber,Austin,Technical,Find the longest consecutive sequence length.
38,Help me prepare for Security Engineer at Amazon in Bay Area. Focus on the Technical round.,Security Engineer,Amazon,Bay Area,Technical,Serialize/deserialize a binary tree.
39,Help me prepare for Backend Engineer at Stripe in Boston. Focus on the Technical round.,Backend Engineer,Stripe,Boston,Technical,Implement an LRU cache with O(1) ops.
40,Help me prepare for Data Engineer at Uber in Vancouver. Focus on the Technical round.,Data Engineer,Uber,Vancouver,Technical,Bias-variance tradeoff and regularization.
41,Help me prepare for Backend Engineer at Google in Austin. Focus on the Technical round.,Backend Engineer,Google,Austin,Technical,Top-K frequent elements using a heap.
42,Help me prepare for Security Engineer at NVIDIA in Bay Area. Focus on the Technical round.,Security Engineer,NVIDIA,Bay Area,Technical,Top-K frequent elements using a heap.
43,Help me prepare for SRE at Amazon in NYC. Focus on the Technical round.,SRE,Amazon,NYC,Technical,Implement an LRU cache with O(1) ops.
44,Help me prepare for Data Scientist at Amazon in LA. Focus on the Technical round.,Data Scientist,Amazon,LA,Technical,Implement mini-batch GD with early stopping.
45,Help me prepare for SRE at Netflix in Boston. Focus on the Technical round.,SRE,Netflix,Boston,Technical,Serialize/deserialize a binary tree.
46,Help me prepare for Data Scientist at NVIDIA in Remote. Focus on the Technical round.,Data Scientist,NVIDIA,Remote,Technical,Daily user embeddings pipeline with real-time serving.
47,Help me prepare for SRE at Airbnb in Toronto. Focus on the Technical round.,SRE,Airbnb,Toronto,Technical,Find the longest consecutive sequence length.
48,Help me prepare for Frontend Engineer at Uber in LA. Focus on the Technical round.,Frontend Engineer,Uber,LA,Technical,Top-K frequent elements using a heap.
49,Help me prepare for Software Engineer at Meta in Seattle. Focus on the System Design round.,Software Engineer,Meta,Seattle,System Design,Design a real-time ride dispatch system.
50,Help me prepare for Data Engineer at Google in Bay Area. Focus on the System Design round.,Data Engineer,Google,Bay Area,System Design,Design a URL shortener.
51,Help me prepare for Frontend Engineer at Apple in Remote. Focus on the System Design round.,Frontend Engineer,Apple,Remote,System Design,Design a real-time ride dispatch system.
52,Help me prepare for Frontend Engineer at Airbnb in Remote. Focus on the System Design round.,Frontend Engineer,Airbnb,Remote,System Design,Design logging ingestion at 10M events/sec.
53,Help me prepare for SRE at Amazon in Austin. Focus on the System Design round.,SRE,Amazon,Austin,System Design,Design a real-time ride dispatch system.
54,Help me prepare for ML Engineer at Airbnb in Austin. Focus on the System Design round.,ML Engineer,Airbnb,Austin,System Design,Design logging ingestion at 10M events/sec.
55,Help me prepare for Security Engineer at Amazon in Boston. Focus on the System Design round.,Security Engineer,Amazon,Boston,System Design,Design a feature store for online inference.
